Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Cascade AIDS Project,,17040375,520 NW Davis St. Suite 215,Portland,OR,97206,Multnomah,93-0903383,"To expand Prism Health, an LGBTQ+ primary care and mental health center",2018 ,"$113,016 ",two years,5032235907,SE150801 - Hiv/Aids,SE050150 - Fqhc Federally Qualified Health Center,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UD0300 - System And Operational Improvements,Capacity Building,,,"1002699, 1002270, 1002994","PA030000, PA020300, PG030200, PC010000, PE000000, PH010000, PH020100",TA00 - Cash Grants,Grant,,Building Community,"We support and empower all people with or affected by HIV, reduce stigma, and provide the LGBTQ+ community with compassionate healthcare."
Cascade Educational Broadcast Service,XRAY-FM,17040354,PO Box 12147,Portland,OR,97212,Multnomah,46-2172193,"To increase this community radio station’s ability to amplify diverse voices and create an organizational culture that prioritizes, monitors and advances diversity, equity and inclusion",2018 ,"$50,000 ",one year,5032332700,SH040400 - Radio,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UN0000 - Program Development,Project Support,,,"1002270, 1002994, 1002699","PC010000, PA030000, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Our mission is to put a microphone to the best and most distinctive of Portland. We strive to create a culturally relevant center for ideas, music, and creativity in service of a more open media and more just community."
CASH Oregon,,17040584,2027 Lloyd Center,Portland,OR,97232,Multnomah,20-5682797,"For capacity building support to help this free tax preparation service better serve all Oregonians through diversity, equity and inclusion training, implementation and organizational assessment",2018 ,"$48,810 ",two years,5032437765,SN050000 - Financial Services,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,7007708,"PA020300, PE060300, PG010400, PG010000, PE000000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"CASH (Creating Assets, Savings and Hope) Oregon is a community based organization committed to improving the financial health of low income working families and individuals."
Causa of Oregon,,17040139,700 Marion St. NE,Salem,OR,97301,Marion,61-1590160,"For a civic engagement program that engages Latinos and immigrants through leadership development, coalition building and community advocacy",2018 ,"$100,000 ",two years,5039995940,SK020000 - Leadership Development,SK040100 - Civic Participation,,UA0000 - General Support,Operating Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PE000000, PE050000, PG010000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"Causa works to improve the lives of Latino immigrants and their families in Oregon through advocacy, coalition building, leadership development, and civic engagement. Latino immigrants and their families are the heart of Causa and inspire, implement, and champion our work."
Center for Diversity and the Environment,,17040634,5431 NE 20th Ave #16,Portland,OR,97211,Multnomah,26-3757028,For participation in the Meyer Leadership Development Learning Collaborative,2018 ,"$10,000 ",one year,5039264868,SK020000 - Leadership Development,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,PE000000,TA00 - Cash Grants,Grant,,Building Community,"We harness the power of racial & ethnic diversity to transform the U.S. environmental movement by developing leaders, catalyzing change within institutions, and building alliances."
Chetco Historical Memorial Project,,17040186,P.O. Box 7294,Brookings,OR,97415,Curry,27-0976354,To protect the remains of a prehistoric Chetco community and to highlight the tribe's significant contributions to the region,2018 ,"$28,920 ",one year,5415100355,SA040000 - Cultural Awareness,SA090300 - Historic Preservation,SR020700 - Cultural Rights,UP0200 - Exhibitions,Project Support,,,,,2001704,PE060300,TA00 - Cash Grants,Grant,,Building Community,"The Chetco Historical Memorial Committee strives to protect the remains of a prehistoric Native American site unearthed at the Port of Brookings-Harbor, Oregon.  Currently there are no markers indicating that a tribe inhabited the area, and our project's purpose is to help bring awareness to this underrepresented group's historic contribution to the region."
Children First for Oregon,,17040633,PO Box 14914,Portland,OR,97293,Multnomah,94-3168157,For participation in the Meyer Capacity Builders Learning Collaborative,2018 ,"$10,000 ",two years,5032369754,SS050000 - Youth Development,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UJ0000 - Network Building And Collaboration,Project Support,,,7007708,PA010000,TA00 - Cash Grants,Grant,,Building Community,Children First’s mission is to improve the lives of all children in Oregon and empower the community to advocate for kids.
Children First for Oregon,,17060685,PO Box 14914,Portland,OR,97293,Multnomah,94-3168157,"For technical assistance to advance internal diversity, equity and inclusion objectives",2018 ,"$35,000 ",one year,5032369754,SS050000 - Youth Development,SA040000 - Cultural Awareness,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,PA010000,TA00 - Cash Grants,Grant,,Building Community,Children First’s mission is to improve the lives of all children in Oregon and empower the community to advocate for kids.
Children First for Oregon,,17040128,PO Box 14914,Portland,OR,97293,Multnomah,94-3168157,"To host community conversations and engage communities across 11 rural locations to deepen understanding of local issues, develop infrastructure for ongoing engagement and generate solutions to meet the diverse needs of Oregon's children",2018 ,"$125,000 ",two years,5032369754,SS050000 - Youth Development,SR050000 - Diversity And Intergroup Relations,,UH0000 - Outreach,Project Support,UK0100 - Advocacy,Project Support,UJ0000 - Network Building And Collaboration,Project Support,"7023817, 2001710, 2001711, 2001712, 2001716, 2001718, 1002943, 1002990, 2001702, 2001713, 2001720, 1002994","PR00001, PA010000",TA00 - Cash Grants,Grant,,Building Community,Children First’s mission is to improve the lives of all children in Oregon and empower the community to advocate for kids.
City of Cornelius,,17040003,1355 N Barlow St,Cornelius,OR,97113,Washington,93-6002144,"For capital support of the Cornelius Library, offering expanded learning opportunities and a community space to empower, engage and enrich the lives of marginalized youth, low-income families and the Latino community in Cornelius",2018 ,"$100,000 ",one year,5033579112,SH020400 - Public Libraries,,,UF0400 - Building And Renovations,Capital Support,,,,,"1002994, 2084579","PG010400, PE000000, PG030200, PG010000",TA00 - Cash Grants,Grant,,Building Community,"The Library's mission is to provide materials and services to help community residents of all ages and cultural backgrounds meet their informational, educational, professional, and recreational needs."
Clackamas Workforce Partnership,,17040311,365 Warner Milne Rd,Oregon City,OR,97045,Clackamas,93-1246270,"To engage the network of Clackamas Workforce Partnership service agencies in diversity, equity and inclusion work to identify and dismantle system barriers for people seeking employment opportunities in the county",2018 ,"$101,776 ",two years,5036576644,SN020300 - Employment,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UJ0000 - Network Building And Collaboration,Project Support,,,1002270,PA000000,TA00 - Cash Grants,Grant,,Building Community,"Address critical workforce, educational, and training challenges, and develop a skilled workforce that meets the needs of businesses and strengthens the local economy of Clackamas County."
Disability Art and Culture Project,,17040392,259 SE 162nd Ave.,Portland,OR,97233,Multnomah,93-1312097,"For implementation of the Leadership Institute program, to advance improvements in City of Portland and State of Oregon employment practices for people with disabilities",2018 ,"$50,000 ",two years,5033589085,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,UJ0000 - Network Building And Collaboration,Project Support,7007708,"PE000000, PC010000, PH010000",TA00 - Cash Grants,Grant,,Building Community,"Disability Art and Culture Project Mission Statement:
DACP furthers the artistic expression of people with both non apparent and apparent disabilities, and promotes equity, access and Disability leadership in culture and the arts.  The arts, storytelling, theater, film, and dance are intrinsically connected to social justice, and are an integral part of our organizing and enacting policy change.  We view disability as a natural and valuable variation of the human form, and believe affirmative disability identity is intertwined with racial, gender, social, and economic justice.    We gather our cross disability and intersectional communities to hear their perspectives, be allies in solidarity, and enrich our cultural and artistic lives.  We seek to broaden definitions of justice & inclusion to include considerations of disability, and develop knowledge and expressions of disability culture and pride."
Dress for Success of Oregon,,17040324,1532B NE 37th Avenue,Portland,OR,97232,Multnomah,93-1250115,To complete an organizational assessment and update organizational policies and practices that advance equity and reduce barriers to economic security for underserved women,2018 ,"$60,000 ",two years,5032497300,SN020300 - Employment,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UN0300 - Program Expansion,Project Support,,,7007708,"PE000000, PG030200, PA030000",TA00 - Cash Grants,Grant,,Building Community,"The mission of Dress for Success is to empower women to achieve economic independence by providing a network of support, professional attire and development tools to help women thrive in work and in life."
Eastern Oregon Healthy Living Alliance,,17040586,PO Box 1230,Lakeview,OR,97630,Lake,47-2176553,To improve early childhood health and address maternal depression in rural and frontier Oregon by integrating behavioral health screening with nurse home visiting services,2018 ,"$50,000 ",one year,5412190907,SE040200 - Community Health Care,,,UN0000 - Program Development,Project Support,,,,,"2001718, 2001708, 2001719, 2001720","PR00001, PG030200, PA030000",TA00 - Cash Grants,Grant,,Building Community,The mission of Eastern Oregon Healthy Living Alliance is to improve community health and support attainment of the highest level of health for all people in Eastern Oregon by engaging Community Advisory Councils and other partners and leveraging resources to implement strategies that address regional health priorities
Elders in Action,,17040365,"1411 SW Morrison St., Ste. 290",Portland,OR,97205,Multnomah,93-1168567,"For a one-year grant to conduct organizational diversity, equity and inclusion planning to better serve low-income seniors",2018 ,"$35,000 ",one year,5032355474,SS090500 - Senior Services,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002699, 1002994, 1002270","PG030200, PA020300",TA00 - Cash Grants,Grant,,Building Community,To assure a vibrant community through the active involvement of older adults.
Elders in Action,,17040363,"1411 SW Morrison St., Ste. 290",Portland,OR,97205,Multnomah,93-1168567,"For capacity building support to plan and develop a framework for an “Elder Advocacy Coalition” among organizations focused on diverse, vulnerable and low income people aged 60 and older",2018 ,"$35,000 ",one year,5032355474,SS090500 - Senior Services,,,UN0000 - Program Development,Project Support,UK0500 - Coalition Building,Project Support,UK0100 - Advocacy,Project Support,7007708,"PA020300, PG030200",TA00 - Cash Grants,Grant,,Building Community,To assure a vibrant community through the active involvement of older adults.
Familias en Accion,,17040075,2710 NE 14th Avenue,Portland,OR,97212,Multnomah,93-1284335,To develop and implement a culturally specific curriculum based on developmental origins of health and disease and train a statewide network of health professionals in its use within Latinx communities,2018 ,"$123,600 ",two years,5037024302,SE040200 - Community Health Care,SM020100 - Community Food Systems,,UN0000 - Program Development,Project Support,UN0500 - Curriculum Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,7007708,"PA030000, PG030200, PG010000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"To promote holistic well being of Latino families through community engagement, education, research and advocacy for social change."
Forward Together,,17040361,300 Frank H. Ogawa Plaza,Oakland,CA,94612,,94-3311784,To build support for policies that provide people of color and low-income families with the power and resources they need to thrive,2018 ,"$175,000 ",two years,5106638300,SK020000 - Leadership Development,SK040100 - Civic Participation,,UJ0000 - Network Building And Collaboration,Project Support,UN0000 - Program Development,Project Support,,,7007708,"PC010000, PG030200, PE000000, PG010400, PG010000",TA00 - Cash Grants,Grant,,Building Community,"Forward Together is a multi-racial organization that works with community leaders and organizations to transform culture and policy to catalyze social change. Our mission is to ensure that women, youth and families have the power and resources they need to reach their full potential. By developing strong leaders, building networks across communities, and implementing innovative campaigns, we are making our mission a reality."
Gorge Grown Food Network,,17040076,PO Box 752,Hood River,OR,97031,Hood River,26-2910949,"For technical assistance for planning, development and implementation of a DEI strategy",2018 ,"$35,000 ",one year,5414906420,SM020000 - Food Security,SR050000 - Diversity And Intergroup Relations,SM020100 - Community Food Systems,UD0100 - Technical Assistance,Capacity Building,,,,,"2001710, 1002990, 1002891, 2085677, 7023817",PA000000,TA00 - Cash Grants,Grant,,Building Community,Our mission is to build a resilient and inclusive regional food system that improves the health and well-being of our community.
Gorge Grown Food Network,,17040076,PO Box 752,Hood River,OR,97031,Hood River,26-2910949,"For the Mid-Columbia Gorge Food Security Coalition, working to improve food security and the availability of nutritious options in Hood River, Wasco and Sherman counties, and in the Umatilla and Warm Springs Indian reservations",2018 ,"$40,754 ",one year,5414906420,SM020100 - Community Food Systems,SM020000 - Food Security,,UN0000 - Program Development,Project Support,UJ0000 - Network Building And Collaboration,Project Support,,,"2001710, 1002990, 1002891, 2085677, 7023817",PA000000,TA00 - Cash Grants,Grant,,Building Community,Our mission is to build a resilient and inclusive regional food system that improves the health and well-being of our community.
Griffin's Place,,17120853,PO Box 1359,Hillsboro,OR,97123,Washington,47-1772252,For technical assistance to support the fundraising capacity of this organization working to provide social opportunities for people with disabilities in Washington County,2018 ,"$10,000 ",one year,5032095449,SS090100 - Developmental Disability Services,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,1002994,"PG030200, PH010000",TA00 - Cash Grants,Grant,,Building Community,Empowering individuals 14 years and older with intellectual/ developmental disabilities with the knowledge and opportunities they need to engage in the community.
Health Care Without Harm,,17040396,"12355 Sunrise Valley Drive, Suite 680",Reston,VA,20191,,52-2358837,To increase institutional market opportunities for minority and women-owned food businesses in Oregon's community foods system network,2018 ,"$35,000 ",one year,7038609790,SN060600 - Entrepreneurship,SM020100 - Community Food Systems,,UN0000 - Program Development,Project Support,UN0200 - Program Creation,Project Support,,,7007708,"PG010400, PA030000, PE000000, PG030200, PG010000",TA00 - Cash Grants,Grant,,Building Community,Health Care Without Harm (HCWH) mission is to transform the health sector worldwide so that it becomes ecologically sustainable and a leading advocate for environmental health and justice across the globe.
High Desert Museum,,17040185,59800 S. Highway 97,Bend,OR,97702,Deschutes,51-0179336,To increase this Central Oregon museum's capacity to develop responsive exhibits and programs informed by its diverse community of members,2018 ,"$75,000 ",three years,5413824754,SA070600 - Natural History Museums,SA040000 - Cultural Awareness,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UP0200 - Exhibitions,Project Support,,,"2001707, 7013349, 2001708, 2001710, 2001709, 2001712, 2001703, 2001721, 2001705, 1002891, 2001722, 2001719, 1002990, 2001723, 2001720, 2001718, 2001715, 2001714","PR00001, PH010000, PE060300, PG030200, PC010000, PE000000",TA00 - Cash Grants,Grant,,Building Community,"To explore the High Desert's unique landscape, cultures, wildlife, history and arts, connecting our visitors to the past and helping them discover their role in the present and responsibility to the future."
HomePlate Youth Services,,17090766,P.O. Box 1413,Beaverton,OR,97075,Washington,26-1666325,For technical assistance to advance internal equity and program evaluation to better serve youth experiencing homelessness in Washington County,2018 ,"$10,000 ",one year,5038677762,SR050000 - Diversity And Intergroup Relations,SS050100 - Youth Services,,UD0100 - Technical Assistance,Capacity Building,,,,,1002994,"PA010000, PG030100",TA00 - Cash Grants,Grant,,Building Community,"HomePlate supports the positive development of young people experiencing homelessness or housing instability through community building, education, access to services and resources, and youth empowerment."
Housing Development Center,,17060681,"847 NE 19th Ave, Ste 150",Portland,OR,97232,Multnomah,93-1116265,For a panel presentation at the Capacity Builder Learning Collaborative,2018 ,"$1,000 ",one year,5033353668,SN040000 - Housing Development,,,UA0000 - General Support,Operating Support,,,,,7007708,PG030200,,Grant,,Building Community,"HDC's mission is to build and sustain housing opportunities for low income families and individuals through partnerships with nonprofits, housing authorities, and governmental entities."
Immanuel Lutheran Church,,17040130,1036 East Lincoln St,Woodburn,OR,97071,Marion,93-0604612,"For a feasibility study for the Woodburn Opportunity Partnership's multicultural, multigenerational community services and gathering space",2018 ,"$35,000 ",one year,5039811036,SN030400 - Community Service,SN000000 - Community And Economic Development,,UD0100 - Technical Assistance,Capacity Building,UM0000 - Research And Evaluation,Project Support,,,1002636,"PG010400, PA020300, PE000000, PG030200, PG010000",TA00 - Cash Grants,Grant,,Building Community,"Loving God by accepting others, sharing God's grace and growing in Christ."
Impact NW,,17120865,PO Box 33530,Portland,OR,97292,Multnomah,93-0557964,For support of Washington County Kids to facilitate community conversations about the need for effective out-of-school programs,2018 ,"$35,000 ",one year,5032947400,SB090100 - Out Of School Learning,,,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,UH0000 - Outreach,Project Support,,,1002994,"PA010000, PG030200",TA00 - Cash Grants,Grant,,Building Community,Impact NW's mission is to help people prosper through a community of support.
Impact NW,,17040255,PO Box 33530,Portland,OR,97292,Multnomah,93-0557964,To develop equitable organizational policies and formalize culturally responsive practices with the aim of improving outcomes for populations experiencing disparities,2018 ,"$135,451 ",two years,5032947400,SR050000 - Diversity And Intergroup Relations,SS000000 - Human Services,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002699, 1002270, 1002994",PE000000,TA00 - Cash Grants,Grant,,Building Community,Impact NW's mission is to help people prosper through a community of support.
Innovative Changes,,17090765,2027 Lloyd Center,Portland,OR,97232,Multnomah,80-0516996,"For planning, implementation and communication of an organizational merger",2018 ,"$40,000 ",one year,5032495201401,SN000000 - Community And Economic Development,,,UD0500 - Mergers,Capacity Building,UD0100 - Technical Assistance,Capacity Building,,,7007708,PG030200,TA00 - Cash Grants,Grant,,Building Community,"We believe that everyone has a right to financial stability.  Innovative Changes (IC$) is a community development financial institution loan fund whose mission is to help low-income individuals and families build their long term financial health.  Our vision is a society where all people have access to safe, affordable financial products and services and the ability to use them well.  Our guiding principles work to advance economic justice for those disenfranchised and excluded by the mainstream financial services sector, celebrate the diverse cultures of our communities by implementing culturally responsive programming and we commit to building a strong, financially sustainable organization.We fulfill our mission by offering comprehensive financial education, access to credit-building opportunities, small-dollar consumer loans and individual development accounts (IDAs) for post-secondary education."
Intertwine Alliance Foundation,,17040635,2100 SW Riverview Parkway,Portland,OR,97201,Multnomah,45-2629474,For participation in the Meyer Capacity Builders Learning Collaborative,2018 ,"$10,000 ",two years,5034450991,SC000000 - Environment,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,7014273,PA000000,TA00 - Cash Grants,Grant,,Building Community,"The mission of The Intertwine Alliance is to leverage investments in nature to create positive environmental, transportation, education, recreation, health, economic and social outcomes for our community. We do this by building connections across sectors, geographies, disciplines and racial divides, deepening the partnerships and collaborations necessary to accomplish large-scale change. We organize summits and forums; are a communications platform; help our partners build their capacity through training and education; and catalyze, nurture, facilitate and manage complex, collaborative initiatives."
InvestigateWest,,17040414,PO Box 9574,Seattle,WA,98109,,27-0170663,For project support to maintain and grow a collaborative investigative journalism series about barriers to equity inherent in Oregon public policy,2018 ,"$57,000 ",one year,2064414288,SH010100 - Journalism,SK010000 - Public Policy,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,"PA030000, PE060300, PE000000, PG010000, PG030200, PG010400",TA00 - Cash Grants,Grant,,Building Community,"Our mission is to strengthen communities, engage citizens in civic life, and help set the policy agenda in the Northwest through investigative and explanatory journalism."
Kinship House,,17040039,1823 NE 8th Avenue,Portland,OR,97212,Multnomah,93-1180331,"To support Kinship House, which uses a culturally-responsive and trauma-informed approach to high-quality mental health care and counseling for fostered and adopted children and their families in Clackamas, Columbia, Hood River, Multnomah and Washington counties",2018 ,"$140,000 ",two years,5034602796,SS040304 - Foster Care,SE120700 - Mental Health Counseling,,UA0000 - General Support,Operating Support,,,,,"1002994, 1002270, 1002699, 1002293, 2001710","PG060100, PC010000, PD040300, PH010000, PG030200, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Kinship House is  to helping abused and neglected children, and their families, through the transition from foster care to successful reunification, adoption and guardianship."
La Clinica del Valle Family Health Care Center,La Clinica,17040407,3617 South Pacific Hwy,Medford,OR,97501,Jackson,94-3096772,"For an equity, diversity and inclusion plan for policies and practices designed to improve outcomes for diverse populations experiencing disparities in Jackson County",2018 ,"$136,000 ",two years,5415356239,SR050000 - Diversity And Intergroup Relations,SE050100 - Health Care Clinics,SE050150 - Fqhc Federally Qualified Health Center,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,2001711,"PR00001, PG030200, PC010000, PG010000, PG010400, PE060300",TA00 - Cash Grants,Grant,,Building Community,"La Clinica's mission is to provide quality medical, dental, and social services to the diverse populations within our communities, especially to those who face barriers to health care."
Legal Aid Services of Oregon,,17040135,"520 SW 6th, Suite 1130",Portland,OR,97204,Multnomah,93-0635480,To assist tribal members in expunging outdated criminal records in Oregon,2018 ,"$20,000 ",two years,5032244094,SJ050500 - Offender Re Entry,SJ040000 - Legal Services,,UN0000 - Program Development,Project Support,,,,,"2662825, 7007708","PG030200, PE060300, PG040200, PR00001",TA00 - Cash Grants,Grant,,Building Community,The primary purpose of Legal Aid Services of Oregon shall be to achieve justice for the low-income communities of Oregon by providing a full range of the highest quality civil legal services.
LGBTQ Community Center Fund,Q Center,17040513,4115 N Mississippi Avenue,Portland,OR,97217,Multnomah,20-0038065,"To expand and sustain programmatic capacity and resource coordination, increasing leadership and participation among people of color, transgender and nonbinary people, seniors, youth and people with disabilities",2018 ,"$90,590 ",three years,5032783470,SR040600 - Lgbtq Rights,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,7007708,"PC010000, PA020300, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Q Center provides a safe space to support and celebrate LGBTQ diversity, visibility and community building."
Living Yoga,,17110815,"5100 SW Macadam Ave., Suite 360",Portland,OR,97239,Multnomah,74-3103432,"For sustainability planning and to integrate diversity, equity and inclusion lens throughout this Portland-based organization — founded to bring the practice of yoga to women in prison — in order to better serve diverse low-income participants who are healing from trauma",2018 ,"$17,240 ",one year,5035461269,SR050000 - Diversity And Intergroup Relations,SE120000 - Mental Health Care,SE120504 - Substance Abuse Treatment,UD0100 - Technical Assistance,Capacity Building,,,,,"7014273, 1002699","PG040100, PH03000, PG030200",TA00 - Cash Grants,Grant,,Building Community,Foster healing and resilience in vulnerable and marginalized communities through trauma-informed yoga.
Lutheran Community Services Northwest,,17040317,"4040 S 188th Street, Suite 300",SeaTac,WA,98188-5070,,93-0386860,"For the Refugee Peer Support pilot project to improve health equity and access to mental health care across the Salem metropolitan area and in Multnomah, Clackamas and Washington counties",2018 ,"$138,350 ",two years,2609011685,SE120000 - Mental Health Care,SE020000 - Health Care Access,SS090300 - Immigrant Services,UN0000 - Program Development,Project Support,UN0100 - Pilot Programs,Project Support,,,"1002270, 1002636, 1002699, 1002994","PE000000, PG010400, PG030200, PG010000",TA00 - Cash Grants,Grant,,Building Community,"Lutheran Community Services Northwest partners with individuals, families and communities for health, justice and hope."
Malheur Education Service District Region 14,,17060679,363 A Street West,Vale,OR,97918-1305,Malheur,93-6000711,For a panel presentation at the Capacity Builder Learning Collaborative,2018 ,"$1,000 ",one year,5414733138,SB090000 - Education Services,,,UA0000 - General Support,Operating Support,,,,,2001718,PA010000,,Grant,,Building Community,"The mission of Malheur Education Service District is to assist our school districts and communities in achieving Oregon's educational goals by producing equitable, high quality, cost-effective and locally responsive educational services on a regional level for all children P-20."
Museum at Warm Springs,,18010879,PO Box 909,Warm Springs,OR,97761,Jefferson,93-0639711,"To support 25th anniversary events, including the museum's hosting of original documents of the Treaty of 1855, companion programming and a three-day symposium on Treaty Rights",2018 ,"$200,000 ",one year,5415533331,SA070300 - Ethnic Museums,,,UF1000 - Collections Management And Preservation,Capital Support,UP0200 - Exhibitions,Project Support,UN0000 - Program Development,Project Support,"7023817, 2001712",PE060300,TA00 - Cash Grants,Grant,,Building Community,"The Mission of the Museum At Warm Springs is to preserve, advance and share the knowledge of the cultural, traditional and artistic heritage of the Confederated Tribes of Warm Springs.
The Museum achieves this through educational exhibitions and programs that raise and inspire awareness of the Confederated Tribes of Warm Springs and other indigenous tribes."
Native Arts and Cultures Foundation,,17040191,400 E. Evergreen Blvd,Vancouver,WA,98660,,26-1595870,"For collaborative, artist-led projects on tribal reservations that address pressing social issues while sustaining culture",2018 ,"$114,000 ",three years,5034454848,SA040000 - Cultural Awareness,SA010200 - Artists' Services,,UN0000 - Program Development,Project Support,,,,,"7023817, 2085677","PR00001, PE060300",TA00 - Cash Grants,Grant,,Building Community,"The Native Arts & Cultures Foundation is a Native-led philanthropic organization dedicated exclusively to the perpetuation of American Indian, Alaska Native and Native Hawaiian arts and cultures nationwide."
New Avenues for Youth,,17040378,1220 SW Columbia Street,Portland,OR,97201,Multnomah,93-0910213,For a culturally responsive service-delivery system that brings prevention and intervention services to marginalized youth experiencing homelessness or existing on the edge of homelessness in East Multnomah County,2018 ,"$170,000 ",two years,5032244339,SS090200 - Homeless Services,,,UN0000 - Program Development,Project Support,UH0000 - Outreach,Project Support,,,1002699,"PA010400, PE000000, PG030200, PC010000",TA00 - Cash Grants,Grant,,Building Community,"Our mission is to work in partnership with our community to prevent youth homelessness and provide homeless and at-risk young people with the resources and skills needed to lead healthy, productive lives."
North by Northeast Community Health Center,,18021019,714 NE Alberta Street,Portland,OR,97211,Multnomah,72-1618287,For racial equity training and community engagement in preparation for the development of an organizational strategic plan,2018 ,"$26,640 ",one year,5032874932,SR050000 - Diversity And Intergroup Relations,SE050100 - Health Care Clinics,,UD0100 - Technical Assistance,Capacity Building,,,,,7014273,"PG030200, PE030100",TA00 - Cash Grants,Grant,,Building Community,North by Northeast Community Health Center exists to improve health outcomes and advance health equity by offering primary care services focused on chronic health conditions affecting the local African American population.
Old Mill Center for Children and Families,,17040423,1650 SW 45th Place,Corvallis,OR,97333,Benton,93-0722603,"To deepen diversity, equity and inclusion within this 40-year-old organization, and to conduct policy and advocacy activities related to social determinants of health in Benton, Lincoln and Linn counties",2018 ,"$75,000 ",three years,5417578068,SB030100 - Early Childhood Education,SR050000 - Diversity And Intergroup Relations,,UN0000 - Program Development,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,UK0100 - Advocacy,Project Support,"2001717, 1002599, 2001701","PE000000, PG030200, PA030000",TA00 - Cash Grants,Grant,,Building Community,"Old Mill Center for Children and Families is a community-based, family-oriented center helping children and families of diverse backgrounds to maximize their potential through specially designed education and therapy programs."
On-the-Move Community Integration,,17040575,4187 SE Division Street,Portland,OR,97202,Multnomah,26-0322213,"For capacity-building support to increase engagement opportunities for people with disabilities in the Portland metropolitan area, develop tools to evaluate programs and engage the board in diversity, equity and inclusion development efforts",2018 ,"$137,956 ",two years,5032870346,SS090100 - Developmental Disability Services,SR050000 - Diversity And Intergroup Relations,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,"1002270, 1002994, 1002699",PH010000,TA00 - Cash Grants,Grant,,Building Community,Enriching the social fabric of the community through ensuring fuller participation of individuals with intellectual and developmental disabilities.
Oregon Black Pioneers Corporation,,17040043,"117 Commercial Street NE, Suite 210",Salem,OR,97301,Marion,93-1156374,To increase understanding of the courage and struggle of black Oregonians through the civil rights movement and into the present day,2018 ,"$35,000 ",one year,5035401023,SA090300 - Historic Preservation,SA040000 - Cultural Awareness,,UP0200 - Exhibitions,Project Support,,,,,7007708,"PG030200, PE030100, PE000000",TA00 - Cash Grants,Grant,,Building Community,"Founded in 1995, Oregon Black Pioneers’ mission is to recognize and commemorate the culture and heritage of African Americans in Oregon. We are dedicated to educating the public about Oregon’s black history through oral presentations, displays, exhibits, and research and by publishing books. 

Through our all-volunteer organization, we have published two books, Perseverance: A History of African Americans in Oregon’s Marion and Polk Counties (2011) and African Americans of Portland (2013). In 2018, we will open our fourth exhibition with the Oregon Historical Society, Racing to Change: Oregon’s Civil Rights Years. Our first exhibit, Perseverance (2011), told the story of black history throughout Oregon. All Aboard! Railroading and Portland's Black Community (2013) showed how opportunities with the railroad brought black workers to Portland. A Community on the Move (2015) interpreted the history of African Americans in Portland in the 1940s and 1950s."
